[[3, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 2], [3, 0, 1, 3]]
         431909 function calls (431762 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    88934    0.008    0.000    0.008    0.000 z3types.py:19(from_param)
        2    0.000    0.000    0.000    0.000 z3types.py:23(from_param)
       16    0.000    0.000    0.000    0.000 z3types.py:27(from_param)
    18180    0.002    0.000    0.002    0.000 z3types.py:31(from_param)
    28292    0.002    0.000    0.002    0.000 z3types.py:39(from_param)
       18    0.000    0.000    0.000    0.000 z3types.py:47(from_param)
       68    0.000    0.000    0.000    0.000 z3types.py:83(from_param)
       16    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.230    0.230 {built-in method builtins.exec}
      112    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
    20995    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     2369    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       70    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      912    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       56    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}


[[3, 3, 3, 0, 0],
 [3, 3, 3, 0, 3],
 [0, 0, 0, 0, 3],
 [1, 0, 3, 3, 5],
 [1, 0, 3, 3, 5]]
         866018 function calls (865801 primitive calls) in 0.460 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.382    0.008 0h_n0.py:109(count_blues)
        1    0.000    0.000    0.458    0.458 0h_n0.py:148(solve)
        1    0.000    0.000    0.001    0.001 0h_n0.py:154(<listcomp>)
        1    0.000    0.000    0.010    0.010 0h_n0.py:159(<listcomp>)
        1    0.000    0.000    0.193    0.193 0h_n0.py:163(<listcomp>)
        1    0.000    0.000    0.210    0.210 0h_n0.py:168(<listcomp>)
        1    0.000    0.000    0.006    0.006 0h_n0.py:174(<listcomp>)
        1    0.000    0.000    0.001    0.001 0h_n0.py:183(<listcomp>)
       50    0.001    0.000    0.088    0.002 0h_n0.py:19(sum_left)
       50    0.001    0.000    0.089    0.002 0h_n0.py:38(sum_right)
       50    0.000    0.000    0.185    0.004 0h_n0.py:5(row_sum)
       50    0.000    0.000    0.189    0.004 0h_n0.py:57(col_sum)
       50    0.001    0.000    0.089    0.002 0h_n0.py:71(sum_top)
       50    0.001    0.000    0.092    0.002 0h_n0.py:90(sum_bottom)
        1    0.000    0.000    0.460    0.460 <string>:1(<module>)
       25    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      850    0.002    0.000    0.013    0.000 z3.py:1041(_to_expr_ref)
     5330    0.004    0.000    0.066    0.000 z3.py:1088(_coerce_expr_merge)
       25    0.000    0.000    0.000    0.000 z3.py:109(to_symbol)
     2040    0.005    0.000    0.213    0.000 z3.py:1106(_coerce_exprs)
      825    0.001    0.000    0.024    0.000 z3.py:1118(_reduce)
      625    0.001    0.000    0.066    0.000 z3.py:1124(_coerce_expr_list)
      625    0.001    0.000    0.040    0.000 z3.py:1133(<listcomp>)
    14436    0.004    0.000    0.005    0.000 z3.py:1135(is_expr)
       25    0.000    0.000    0.000    0.000 z3.py:1157(is_app)
      827    0.000    0.000    0.001    0.000 z3.py:126(_get_args)
      825    0.005    0.000    0.168    0.000 z3.py:1268(If)
      240    0.001    0.000    0.002    0.000 z3.py:1313(_mk_bin)
     1925    0.003    0.000    0.058    0.000 z3.py:1392(cast)
     2370    0.004    0.000    0.029    0.000 z3.py:1426(sort)
      827    0.001    0.000    0.010    0.000 z3.py:1553(BoolSort)
      370    0.001    0.000    0.003    0.000 z3.py:1570(BoolVal)
      475    0.000    0.000    0.001    0.000 z3.py:1693(_has_probe)
       25    0.000    0.000    0.004    0.000 z3.py:1700(And)
      450    0.003    0.000    0.060    0.000 z3.py:1732(Or)
   103431    0.012    0.000    0.012    0.000 z3.py:196(ref)
       26    0.000    0.000    0.000    0.000 z3.py:211(main_ctx)
     1415    0.001    0.000    0.006    0.000 z3.py:2145(is_int)
     4330    0.007    0.000    0.133    0.000 z3.py:2163(cast)
     5905    0.009    0.000    0.072    0.000 z3.py:2217(sort)
       25    0.000    0.000    0.001    0.000 z3.py:2227(is_int)
      240    0.001    0.000    0.027    0.000 z3.py:2252(__add__)
    21625    0.003    0.000    0.003    0.000 z3.py:231(_get_ctx)
       25    0.000    0.000    0.003    0.000 z3.py:2446(__le__)
      400    0.001    0.000    0.043    0.000 z3.py:2472(__gt__)
       50    0.000    0.000    0.005    0.000 z3.py:2485(__ge__)
       25    0.000    0.000    0.000    0.000 z3.py:2498(is_arith)
       25    0.000    0.000    0.000    0.000 z3.py:2554(_is_numeral)
       25    0.000    0.000    0.001    0.000 z3.py:2560(is_int_value)
       25    0.000    0.000    0.000    0.000 z3.py:2787(as_string)
      320    0.000    0.000    0.011    0.000 z3.py:2930(_py2expr)
     1735    0.002    0.000    0.020    0.000 z3.py:2942(IntSort)
     1710    0.002    0.000    0.003    0.000 z3.py:2974(_to_int_str)
     1710    0.005    0.000    0.055    0.000 z3.py:2989(IntVal)
       25    0.000    0.000    0.001    0.000 z3.py:3045(Int)
    15632    0.021    0.000    0.103    0.000 z3.py:307(__init__)
    15632    0.022    0.000    0.102    0.000 z3.py:312(__del__)
    47704    0.015    0.000    0.020    0.000 z3.py:362(ctx_ref)
     5585    0.012    0.000    0.071    0.000 z3.py:366(eq)
      150    0.000    0.000    0.000    0.000 z3.py:3724(is_bv)
     9735    0.002    0.000    0.003    0.000 z3.py:412(is_ast)
       25    0.000    0.000    0.000    0.000 z3.py:450(_ast_kind)
     1650    0.003    0.000    0.005    0.000 z3.py:455(_ctx_from_ast_arg_list)
      625    0.002    0.000    0.002    0.000 z3.py:478(_to_ast_array)
     1415    0.001    0.000    0.005    0.000 z3.py:508(_sort_kind)
    32844    0.022    0.000    0.116    0.000 z3.py:513(as_ast)
     1415    0.001    0.000    0.005    0.000 z3.py:519(kind)
    13005    0.001    0.000    0.001    0.000 z3.py:56(z3_debug)
        6    0.000    0.000    0.000    0.000 z3.py:596(is_sort)
        1    0.000    0.000    0.000    0.000 z3.py:6004(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6010(__del__)
       25    0.000    0.000    0.001    0.000 z3.py:6021(eval)
       25    0.000    0.000    0.001    0.000 z3.py:6050(evaluate)
     2055    0.000    0.000    0.001    0.000 z3.py:64(_is_int)
        1    0.000    0.000    0.000    0.000 z3.py:6438(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6444(__eq__)
        1    0.000    0.000    0.000    0.000 z3.py:6480(__init__)
        1    0.000    0.000    0.001    0.001 z3.py:6493(__del__)
        1    0.000    0.000    0.013    0.013 z3.py:6585(assert_exprs)
        1    0.000    0.000    0.013    0.013 z3.py:6604(add)
        1    0.000    0.000    0.021    0.021 z3.py:6671(check)
        1    0.000    0.000    0.000    0.000 z3.py:6700(model)
        6    0.000    0.000    0.000    0.000 z3.py:787(is_func_decl)
     2240    0.001    0.000    0.001    0.000 z3.py:8104(is_probe)
      350    0.001    0.000    0.023    0.000 z3.py:8302(Sum)
      400    0.000    0.000    0.000    0.000 z3.py:8319(<lambda>)
    24220    0.003    0.000    0.003    0.000 z3.py:903(as_ast)
      500    0.001    0.000    0.055    0.000 z3.py:932(__eq__)
    11450    0.001    0.000    0.001    0.000 z3.py:94(_z3_assert)
    89497    0.072    0.000    0.080    0.000 z3core.py:1411(Check)
    15632    0.021    0.000    0.038    0.000 z3core.py:1474(Z3_inc_ref)
    15632    0.021    0.000    0.038    0.000 z3core.py:1478(Z3_dec_ref)
       25    0.000    0.000    0.000    0.000 z3core.py:1581(Z3_mk_string_symbol)
      827    0.001    0.000    0.002    0.000 z3core.py:1591(Z3_mk_bool_sort)
     1735    0.002    0.000    0.004    0.000 z3core.py:1596(Z3_mk_int_sort)
       25    0.000    0.000    0.000    0.000 z3core.py:1682(Z3_mk_const)
       37    0.000    0.000    0.000    0.000 z3core.py:1706(Z3_mk_true)
      333    0.000    0.000    0.001    0.000 z3core.py:1711(Z3_mk_false)
      500    0.001    0.000    0.002    0.000 z3core.py:1716(Z3_mk_eq)
      825    0.002    0.000    0.003    0.000 z3core.py:1731(Z3_mk_ite)
       25    0.000    0.000    0.000    0.000 z3core.py:1751(Z3_mk_and)
      450    0.001    0.000    0.002    0.000 z3core.py:1756(Z3_mk_or)
      390    0.001    0.000    0.002    0.000 z3core.py:1761(Z3_mk_add)
       25    0.000    0.000    0.000    0.000 z3core.py:1806(Z3_mk_le)
      400    0.001    0.000    0.001    0.000 z3core.py:1811(Z3_mk_gt)
       50    0.000    0.000    0.000    0.000 z3core.py:1816(Z3_mk_ge)
     1710    0.004    0.000    0.008    0.000 z3core.py:2186(Z3_mk_numeral)
    32844    0.045    0.000    0.080    0.000 z3core.py:2556(Z3_sort_to_ast)
     2265    0.003    0.000    0.006    0.000 z3core.py:2566(Z3_get_sort_kind)
     5585    0.009    0.000    0.015    0.000 z3core.py:2781(Z3_is_eq_ast)
     9125    0.014    0.000    0.024    0.000 z3core.py:2796(Z3_get_sort)
      875    0.001    0.000    0.002    0.000 z3core.py:2811(Z3_get_ast_kind)
       25    0.000    0.000    0.000    0.000 z3core.py:2821(Z3_is_numeral_ast)
       25    0.000    0.000    0.000    0.000 z3core.py:2841(Z3_get_numeral_string)
        1    0.000    0.000    0.000    0.000 z3core.py:3056(Z3_model_inc_ref)
        1    0.000    0.000    0.000    0.000 z3core.py:3060(Z3_model_dec_ref)
       25    0.000    0.000    0.000    0.000 z3core.py:3064(Z3_model_eval)
        1    0.000    0.000    0.000    0.000 z3core.py:3675(Z3_mk_solver)
        1    0.000    0.000    0.000    0.000 z3core.py:3723(Z3_solver_inc_ref)
        1    0.001    0.001    0.001    0.001 z3core.py:3727(Z3_solver_dec_ref)
      100    0.009    0.000    0.009    0.000 z3core.py:3752(Z3_solver_assert)
        1    0.021    0.021    0.021    0.021 z3core.py:3806(Z3_solver_check_assumptions)
        1    0.000    0.000    0.000    0.000 z3core.py:3826(Z3_solver_get_model)
     1735    0.001    0.000    0.002    0.000 z3core.py:69(_str_to_bytes)
       25    0.000    0.000    0.000    0.000 z3core.py:83(_to_pystr)
       25    0.000    0.000    0.002    0.000 z3printer.py:1000(pp_expr)
      6/1    0.000    0.000    0.002    0.002 z3printer.py:1089(pp_list)
     31/1    0.000    0.000    0.002    0.002 z3printer.py:1106(main)
        1    0.000    0.000    0.002    0.002 z3printer.py:1132(__call__)
        1    0.000    0.000    0.003    0.003 z3printer.py:1236(obj_to_string)
        1    0.000    0.000    0.000    0.000 z3printer.py:1271(in_html_mode)
        1    0.000    0.000    0.003    0.003 z3printer.py:1280(print_matrix)
        1    0.000    0.000    0.000    0.000 z3printer.py:13(_z3_assert)
       89    0.000    0.000    0.000    0.000 z3printer.py:142(u)
       30    0.000    0.000    0.000    0.000 z3printer.py:189(_support_pp)
       10    0.000    0.000    0.000    0.000 z3printer.py:290(is_compose)
        4    0.000    0.000    0.000    0.000 z3printer.py:292(is_choice)
       22    0.000    0.000    0.000    0.000 z3printer.py:294(is_indent)
       28    0.000    0.000    0.000    0.000 z3printer.py:296(is_string)
      136    0.000    0.000    0.000    0.000 z3printer.py:308(flat)
       40    0.000    0.000    0.000    0.000 z3printer.py:312(__init__)
       40    0.000    0.000    0.000    0.000 z3printer.py:313(<listcomp>)
       12    0.000    0.000    0.000    0.000 z3printer.py:319(is_compose)
     22/6    0.000    0.000    0.000    0.000 z3printer.py:323(space_upto_nl)
     22/6    0.000    0.000    0.000    0.000 z3printer.py:331(flat)
     22/6    0.000    0.000    0.000    0.000 z3printer.py:332(<listcomp>)
        6    0.000    0.000    0.000    0.000 z3printer.py:335(is_choice)
        5    0.000    0.000    0.000    0.000 z3printer.py:341(flat)
       17    0.000    0.000    0.000    0.000 z3printer.py:345(__init__)
     11/6    0.000    0.000    0.000    0.000 z3printer.py:353(space_upto_nl)
     11/6    0.000    0.000    0.000    0.000 z3printer.py:355(flat)
        6    0.000    0.000    0.000    0.000 z3printer.py:357(is_indent)
        6    0.000    0.000    0.000    0.000 z3printer.py:361(__init__)
        4    0.000    0.000    0.000    0.000 z3printer.py:363(is_linebreak)
       24    0.000    0.000    0.000    0.000 z3printer.py:369(flat)
       85    0.000    0.000    0.000    0.000 z3printer.py:373(__init__)
       81    0.000    0.000    0.000    0.000 z3printer.py:376(is_string)
      160    0.000    0.000    0.000    0.000 z3printer.py:380(space_upto_nl)
        6    0.000    0.000    0.000    0.000 z3printer.py:383(fits)
       85    0.000    0.000    0.000    0.000 z3printer.py:387(to_format)
       34    0.000    0.000    0.000    0.000 z3printer.py:396(compose)
       17    0.000    0.000    0.000    0.000 z3printer.py:401(indent)
        6    0.000    0.000    0.000    0.000 z3printer.py:404(group)
        6    0.000    0.000    0.000    0.000 z3printer.py:407(line_break)
       81    0.000    0.000    0.000    0.000 z3printer.py:410(_len)
        6    0.000    0.000    0.000    0.000 z3printer.py:416(seq)
        6    0.000    0.000    0.001    0.000 z3printer.py:443(seq3)
       81    0.000    0.000    0.000    0.000 z3printer.py:460(pp_string)
     12/1    0.000    0.000    0.000    0.000 z3printer.py:470(pp_compose)
      6/1    0.000    0.000    0.001    0.001 z3printer.py:474(pp_choice)
        4    0.000    0.000    0.000    0.000 z3printer.py:481(pp_line_break)
    109/1    0.000    0.000    0.001    0.001 z3printer.py:493(pp)
        1    0.000    0.000    0.001    0.001 z3printer.py:509(__call__)
       25    0.000    0.000    0.000    0.000 z3printer.py:586(pp_int)
       25    0.000    0.000    0.001    0.000 z3printer.py:917(pp_app)
   178994    0.017    0.000    0.017    0.000 z3types.py:19(from_param)
